Price,Close,High,Low,Open,Volume
Ticker,COST,COST,COST,COST,COST
Date,,,,,
2023-04-19,478.8648681640625,480.7570340654161,476.74098743492925,479.9268085286291,1098800
2023-04-20,488.0843505859375,492.98857327693486,478.3628461343721,478.5945314874377,2936500
2023-04-21,488.8277282714844,492.96928076679666,487.9685126430064,491.7432103513962,1508600
2023-04-24,493.7222900390625,493.98293606505985,488.3064091401055,488.5863819201499,1374100
2023-04-25,485.7578125,495.3731383990508,484.87929951934376,493.4423484094372,1789900
2023-04-26,477.5422668457031,485.46815109188515,476.3162258721696,483.1029511544528,1441900
2023-04-27,483.92352294921875,484.8792839973132,477.7063770247659,477.7063770247659,1361600
2023-04-28,485.80609130859375,487.36036317539026,483.31538507819624,484.2035320130748,1169400
2023-05-01,476.50927734375,482.7457203080414,471.8850274052472,481.8768707681209,2203200
2023-05-02,477.6871337890625,478.52702278886096,472.8601584233061,477.8705612098828,1940800
2023-05-03,473.1014709472656,481.5197165186833,472.7153188398922,479.4151624912082,1426400
2023-05-04,474.35906982421875,474.9104997424975,470.09279489110463,473.00470385885643,1487000
2023-05-05,482.7949523925781,483.1238677866561,476.91312086517775,477.12595194640096,1708200
2023-05-08,482.7949523925781,483.9461710333355,479.54447354077047,481.1600294329468,1015000
2023-05-09,484.468505859375,485.3875262108799,480.2119144089708,480.7633148106881,1571800
2023-05-10,483.3753662109375,488.51230331947613,478.9639855247683,485.59074008700287,1257600
2023-05-11,485.53265380859375,486.6064630450862,481.33407504584954,483.23021691385134,1046700
2023-05-12,487.6416320800781,489.537744560745,484.86517428121726,486.7709702946776,1471900
2023-05-15,485.6777648925781,488.5412857465637,482.601383467652,487.58356079215156,1135700
2023-05-16,479.97967529296875,483.9847602695086,478.18996383518584,483.70420356501165,1229300
2023-05-17,478.86724853515625,481.77915781703257,475.868276023575,481.76947428385415,2069500
2023-05-18,481.8661804199219,482.34988467058974,477.97717934985496,478.8672081611882,2298900
2023-05-19,480.337646484375,483.11413361330546,477.8224080619564,483.11413361330546,1634400
2023-05-22,475.8392639160156,480.80207476350694,472.61780626434575,480.80207476350694,1943800
2023-05-23,469.0673828125,471.29244020976853,467.2293124568199,471.29244020976853,1800200
2023-05-24,467.026123046875,471.36977763561475,465.23641147039746,471.36977763561475,1600600
2023-05-25,470.6926574707031,472.61782072146707,461.21206469877256,464.5592902946545,3421900
2023-05-26,490.7276306152344,494.10387673283486,468.34178441758866,469.82191819780815,5302600
2023-05-30,491.4725341796875,498.0121954989456,485.24242113989374,493.1751825700801,2544800
2023-05-31,494.8874816894531,497.12219292554875,488.4929257815427,492.27546697359287,3320800
2023-06-01,495.8935546875,496.9964145067251,485.7357953454387,492.73013964065916,2407700
2023-06-02,495.88397216796875,501.6013306899334,492.7979070239547,493.6879358756503,2283900
2023-06-05,501.3594970703125,502.00764428667844,495.3325605057773,495.88399048242314,2023500
2023-06-06,499.4343566894531,501.7271102716007,496.04842670195194,501.3594902921402,1410300
2023-06-07,494.5682678222656,502.3655486010074,493.92977465693673,497.74136658383145,1784700
2023-06-08,503.13958740234375,503.3330218943029,495.79692981761275,495.79692981761275,1530400
2023-06-09,500.421142578125,505.0453249233585,498.69912695000284,501.30145841270445,1287300
2023-06-12,503.9908142089844,504.28108401663775,499.1828219596765,500.42113327092676,1404500
2023-06-13,505.00665283203125,505.90633573840006,501.0305586381629,505.00665283203125,1204700
2023-06-14,510.0177001953125,510.64648020298586,506.0900246078935,507.8893899899799,1841400
2023-06-15,511.93328857421875,513.9455150450458,509.4953999469847,511.75916210740723,1871600
2023-06-16,506.5834655761719,513.1327807234318,505.59669004861564,512.8232029295724,3147400
2023-06-20,502.7622375488281,505.8579567322052,501.2530825657475,504.9389067963059,1684400
2023-06-21,502.6848449707031,504.6390292100436,499.7052099915564,501.0305550313267,1273600
2023-06-22,507.1156005859375,507.57993781983964,502.74289481357533,503.71998694819035,1114000
2023-06-23,507.3476867675781,508.27642013041424,502.413927321214,506.08038406768924,1433700
2023-06-26,506.36102294921875,507.7637773117078,504.27144622934134,507.30912358475723,1278500
2023-06-27,513.0457763671875,515.0579435734537,505.0839641053135,505.6160860274589,1673600
2023-06-28,515.4351806640625,516.1026948179538,511.3817371301856,511.739673512396,1245200
2023-06-29,514.3613891601562,515.0966290123769,511.71069951625293,513.2875799766931,1121800
2023-06-30,520.8334350585938,521.9749700953656,516.238244312112,516.7606236878074,2221900
2023-07-03,523.40673828125,523.4454724154325,516.9251477668103,519.7402808695773,951400
2023-07-05,523.4937744140625,528.2534077747151,519.9820767811499,523.5808081146865,1630400
2023-07-06,519.8562622070312,522.6907618154313,519.0920308054789,521.3170583805927,1750100
2023-07-07,507.93780517578125,518.9759688801033,507.53151015139167,516.4897220276149,2739500
2023-07-10,509.833984375,513.8390699036837,507.94752591184334,507.94752591184334,1955600
2023-07-11,512.3782348632812,513.4617276231343,509.0019887592815,510.307966571948,1262300
2023-07-12,520.4658203125,522.5070382620322,513.8003609705592,514.6613687848513,1960500
2023-07-13,520.901123046875,521.5492702145056,515.4255578247698,520.2722838981764,1647200
2023-07-14,528.8822021484375,529.0369615175158,520.562454196797,521.1526182158501,1828400
2023-07-17,534.938232421875,536.147493062711,528.3017651500604,528.3791743639342,1909900
2023-07-18,535.5477294921875,536.9117495784739,531.484601740245,534.657671105941,1779200
2023-07-19,536.0507202148438,537.7727357204622,534.0288694761459,536.4086566431478,1261100
2023-07-20,538.8079223632812,542.7839575917624,535.6638443709713,535.7605616138989,1732800
2023-07-21,539.678466796875,543.7319105871269,539.2818553103403,540.9457695117022,5263900
2023-07-24,545.5506591796875,548.1046317479229,537.7630326943421,539.8139339563083,2086400
2023-07-25,546.7695922851562,549.0526620898216,545.9085845809294,548.2981141915694,1602500
2023-07-26,547.7176513671875,549.5170760437326,545.0572780045488,547.0791877403628,1306400
2023-07-27,543.51904296875,552.5449202475237,542.3290905620097,549.2170332035954,1485300
2023-07-28,544.9606323242188,549.3042875919897,544.2834344792666,546.1795766359454,1371400
2023-07-31,542.3969116210938,545.898925696209,540.8297145618844,544.6509899774843,1365900
2023-08-01,537.3663330078125,544.5348625496721,536.4666502521883,542.3581935791836,1445300
2023-08-02,534.3480834960938,538.4886203896932,533.0614726508549,534.2610497932079,1635000
2023-08-03,539.5140380859375,542.0873186649757,534.2222829914243,535.4896447855198,1463400
2023-08-04,534.0481567382812,542.996685189937,533.4386846714132,542.7838836661051,1141500
2023-08-07,540.2105712890625,541.3231147170006,536.9020506491273,536.9020506491273,1015400
2023-08-08,537.9952392578125,540.6846633746361,533.8547613588044,539.8139720593933,1020400
2023-08-09,541.4585571289062,543.7706776485343,538.662732352248,539.7945837808386,1471800
2023-08-10,543.1901245117188,550.6585479459477,542.4258931442901,544.8444141061908,1107200
2023-08-11,544.6123046875,546.5857967502055,540.8103964080055,542.0873236541555,1043100
2023-08-14,543.1708984375,549.2075779238896,542.1744982464456,546.3633941726068,1247600
2023-08-15,540.3073120117188,546.7405428856667,540.0074177489744,542.7645082598198,1124300
2023-08-16,540.8297729492188,546.5375073807128,540.510511574267,543.393429390435,1340100
2023-08-17,529.2789306640625,542.1551373931848,527.3151218146332,541.2360873693907,1941900
2023-08-18,527.1795654296875,531.561895023632,525.4091914255209,529.0950152744383,1877800
2023-08-21,525.5059814453125,527.382756257521,518.8211557857445,526.1347615294783,2076100
2023-08-22,520.82373046875,524.2967531043098,519.9820897634121,524.2967531043098,1286000
2023-08-23,523.2324829101562,523.532377146506,518.7630609124695,521.3944424133402,1295800
2023-08-24,515.3527221679688,524.3569072828366,514.4900875496858,522.6994916950958,1587500
2023-08-25,517.5819702148438,519.3071803475614,514.2380926044517,516.5157746169297,1511500
2023-08-28,519.69482421875,520.518651426853,516.7192616207053,519.5106669518518,945800
2023-08-29,526.0724487304688,526.3632078128746,517.9017931486476,517.9017931486476,1468500
2023-08-30,525.5780639648438,527.6715882577553,522.7188051655193,526.033576611582,1292800
2023-08-31,532.382080078125,535.2122331741542,523.3875398859747,523.3875398859747,2086500
