Price,Close,High,Low,Open,Volume
Ticker,EG,EG,EG,EG,EG
Date,,,,,
2023-04-19,361.8128967285156,361.92887626948806,356.88355976292854,358.3043681324862,270700
2023-04-20,363.03070068359375,364.8381171549353,360.66267716456116,361.7548668815928,307000
2023-04-21,358.2174377441406,361.6679770924159,354.9988870092775,360.2568433029369,340300
2023-04-24,358.8649597167969,362.32514369017554,357.6374408031915,358.7006357099799,188000
2023-04-25,357.6181335449219,359.49321476699834,356.20699997963385,357.1735354757012,181100
2023-04-26,356.59356689453125,359.45450337189595,354.91180476537323,355.3177331086711,240400
2023-04-27,361.3586120605469,361.40695653192165,353.8873117424588,356.6805839173949,247400
2023-04-28,365.3504638671875,366.97423662747894,357.79214824986445,359.00031777323477,249600
2023-05-01,367.6120910644531,369.2648584319565,363.66863939019635,364.26788665231334,365800
2023-05-02,369.216552734375,375.4797132528382,349.88584316713025,349.88584316713025,527800
2023-05-03,363.4560546875,370.3860984102037,362.22853559986265,368.3177275676818,350300
2023-05-04,359.1162414550781,363.736279813786,354.74751175695593,363.44633097181924,335200
2023-05-05,362.83746337890625,369.45823823010403,361.9965821146423,361.9965821146423,378800
2023-05-08,370.3957824707031,371.04337431622537,364.92518730725635,364.92518730725635,288000
2023-05-09,370.0574645996094,371.49759314309114,367.4574815872846,370.81136115545996,399300
2023-05-10,373.0633850097656,374.416528818122,366.6165802100753,372.0678546190117,269100
2023-05-11,374.1459045410156,374.5325128485624,369.69983526341963,372.3771280269124,141200
2023-05-12,372.96673583984375,377.68343395582366,370.2314237661059,377.2484811678566,187800
2023-05-15,370.42474365234375,374.94812287536035,366.3846321966492,374.94812287536035,141600
2023-05-16,365.737060546875,370.70506762671044,364.75120486593516,369.48722334718303,118800
2023-05-17,356.6516418457031,361.4166553473418,353.90668423934954,354.71857061618715,2127700
2023-05-18,364.8670959472656,365.82395650841147,355.0277731277246,357.6084060036386,1568300
2023-05-19,363.87164306640625,369.1489189594278,363.35938040000354,367.19652774897924,723300
2023-05-22,349.3929138183594,362.7117720329129,345.3141327659088,362.55712281098073,722900
2023-05-23,352.795166015625,364.85751133095357,348.7357047290738,354.7378824988195,862000
2023-05-24,349.33489990234375,351.87689285007383,343.6226718649283,351.51927945371415,450200
2023-05-25,347.9044494628906,351.31631844543585,344.2605919132221,348.9289746873611,340900
2023-05-26,338.345458984375,347.9528254695458,338.07483018886285,347.9528254695458,344800
2023-05-30,341.2587585449219,343.31751297499875,336.2478128533705,338.3260085068327,375200
2023-05-31,330.19775390625,343.48259914413114,326.30361184490636,339.8894700350707,885000
2023-06-01,329.62481689453125,331.0912067340954,322.9629971844273,330.28516649851605,422500
2023-06-02,333.2179870605469,335.2281979542643,329.2461387016067,330.06187001296706,442000
2023-06-05,332.63525390625,336.56824874650454,330.4987939707971,335.86904637090265,602800
2023-06-06,339.4136657714844,339.5690473856757,332.20799529792686,334.2473382346705,365400
2023-06-07,338.86981201171875,339.9574535693588,336.335192278281,338.7047098014296,315900
2023-06-08,331.7807312011719,339.4136943473864,331.74187838534976,338.04442154080556,258100
2023-06-09,334.6357727050781,336.19927980094,330.411425889466,330.7804535134339,332100
2023-06-12,328.8965148925781,336.8013882448359,328.6149134851986,334.42214974902004,392800
2023-06-13,336.4226379394531,337.30635424293126,328.6537346677481,328.6537346677481,320700
2023-06-14,331.2563171386719,337.78219721000204,330.92614229898135,335.4127089272828,247600
2023-06-15,334.3055725097656,335.51946347748446,330.48910641990005,331.7224089741388,242500
2023-06-16,342.171630859375,342.64746668936505,335.14075342149096,336.31582134993545,587700
2023-06-20,342.55035400390625,344.74507863592976,337.0247192458746,344.1818461951875,342800
2023-06-21,341.68603515625,345.3859724510298,341.52093294497195,344.7644460509359,281400
2023-06-22,343.2204284667969,344.35664361067484,340.1614287292988,343.4049422904695,245400
2023-06-23,335.67486572265625,343.0941523629363,333.7520516425674,341.72490934682577,518100
2023-06-26,330.14923095703125,337.6559438236435,328.6925617078111,336.87903577578567,532500
2023-06-27,328.1390380859375,332.60616328647683,325.7403880732923,330.5571293233414,315700
2023-06-28,323.25433349609375,327.44954817081066,321.516033175762,327.44954817081066,469300
2023-06-29,329.84820556640625,331.14949327397653,323.30291421513107,324.64302510011186,475600
2023-06-30,331.984619140625,334.1404908171212,329.26551506036475,331.1980201161207,549200
2023-07-03,331.9942932128906,333.2858896969646,325.4684146990645,330.84838734227424,150200
2023-07-05,329.8190612792969,331.0912167391852,324.0117957797979,331.0912167391852,284900
2023-07-06,331.42138671875,332.82951218210064,329.1489862440828,329.1489862440828,349700
2023-07-07,341.1325378417969,344.9975778472695,334.23763033439207,336.81107358853234,406900
2023-07-10,337.0344543457031,341.73463741563694,334.6260835872514,339.6856033389821,151500
2023-07-11,341.6569519042969,342.1813315389876,336.141037675298,338.7241719422197,177500
2023-07-12,342.4532775878906,344.4925910304555,338.66591345509363,343.317552684175,239800
2023-07-13,343.5214538574219,344.11384811317015,341.1422451303357,341.81231537509376,240100
2023-07-14,342.4726867675781,343.434079077223,338.6756316846982,343.2690064765842,211800
2023-07-17,348.6488952636719,351.45542538819706,342.71541047706756,342.71541047706756,227000
2023-07-18,347.697265625,351.0961607223193,346.09493529203786,347.26997358474165,171000
2023-07-19,346.91064453125,351.4457248198269,345.85213511019015,345.85213511019015,204200
2023-07-20,354.5144348144531,355.903118999611,349.32869604192524,349.32869604192524,270300
2023-07-21,356.35955810546875,363.40984678042975,352.4265629729147,357.01021674562566,290000
2023-07-24,359.4185485839844,362.54553302371636,354.9805855570073,355.78659615103265,276500
2023-07-25,355.9808654785156,360.0789631320359,355.6215584446405,359.28264343554764,243800
2023-07-26,354.2134094238281,363.43898143075444,352.5528147606648,356.92282255341934,355400
