Price,Close,High,Low,Open,Volume
Ticker,GAP,GAP,GAP,GAP,GAP
Date,,,,,
2023-04-19,8.97050666809082,8.989079571048158,8.673347305611463,8.784782066541222,7779900
2023-04-20,8.673345565795898,9.035508244768998,8.599055740078105,8.831211666847354,5738700
2023-04-21,8.942646980285645,8.961218995106671,8.645487658312131,8.747635953839367,6528200
2023-04-24,9.351242065429688,9.369814967876112,8.76620892243829,8.896216582749066,8360100
2023-04-25,8.756922721862793,9.211948171549906,8.67334643812339,9.202661721000046,7531700
2023-04-26,8.673345565795898,8.89621504294928,8.608342189693975,8.664059116180029,6314200
2023-04-27,8.719778060913086,8.905502649331984,8.682633143229305,8.69191870844673,6923400
2023-04-28,8.914789199829102,9.007651052274479,8.654773887530755,8.654773887530755,5333400
2023-05-01,8.4783353805542,9.03550912789556,8.431904013541253,8.970505745440235,9224300
2023-05-02,8.27403736114502,8.450476367245209,8.032594976799817,8.385472103395589,8749800
2023-05-03,8.088313102722168,8.339041061056257,8.060454637486078,8.209034299551412,7263300
2023-05-04,7.689004898071289,8.088313419725349,7.633287965415411,8.041882052108999,7820500
2023-05-05,8.051167488098145,8.153315775497049,7.828298014352589,7.846870027695769,9891100
2023-05-08,7.846871376037598,8.23689346491279,7.781867989759971,8.134745159961561,9082100
2023-05-09,7.865443229675293,7.995449984900018,7.568283034294635,7.633287297511597,8213300
2023-05-10,7.754009246826172,8.069740601538435,7.577570225188024,8.004737217568952,6671700
2023-05-11,7.642573356628418,7.837584387697916,7.577569974806804,7.716864074487678,7111000
2023-05-12,7.336129188537598,7.679720381648628,7.280411805471528,7.651861025911995,9311700
2023-05-15,7.363987445831299,7.447564182218421,7.2618391345637185,7.336128976504645,10252800
2023-05-16,6.946106433868408,7.2896971529939485,6.946106433868408,7.2896971529939485,8875500
2023-05-17,7.224693775177002,7.261838693893399,6.946106442001663,6.946106442001663,9471800
2023-05-18,7.531139850616455,7.558999206511226,7.233980472577324,7.280411846797139,7219700
2023-05-19,7.224693775177002,7.447563730277744,7.150403494941848,7.4011319176787085,8946600
2023-05-22,7.382558822631836,7.466135103948422,7.224693153081639,7.28969653383692,7917500
2023-05-23,7.057541370391846,7.438277460730411,7.038968910580382,7.4104185496120305,9876700
2023-05-24,7.066827297210693,7.484708276157761,6.964678554427765,7.373273082757141,13164700
2023-05-25,6.890388488769531,7.113257982464455,6.704663467888107,7.04825460153793,20131800
2023-05-26,7.744722366333008,7.939733393025013,7.456848608604948,7.568283354485431,31288600
2023-05-30,7.809726715087891,7.911875909014799,7.540425824416058,7.911875909014799,12612800
2023-05-31,7.447563648223877,7.80043992933946,7.336128450500068,7.791154363966204,14306700
2023-06-01,7.5032806396484375,7.521853541744881,7.233979758483013,7.326842054953443,10512000
2023-06-02,8.079028129577637,8.097601033533916,7.614716157928292,7.754010280785978,12583000
2023-06-05,7.958305835723877,8.014023654461939,7.754009233428582,7.995450753014357,9182400
2023-06-06,8.422616958618164,8.561911049661383,7.884015265368765,7.930446629049838,9679800
2023-06-07,8.69191837310791,8.719777724499437,8.320469210600818,8.48762177653134,10181500
2023-06-08,8.794069290161133,8.80335485685034,8.42261916884293,8.645489595875786,8020300
2023-06-09,8.92407512664795,9.007651417157602,8.738350528629134,8.74763697993126,9540000
2023-06-12,9.044795036315918,9.100512850512919,8.61762807948762,8.87764336493414,7010800
2023-06-13,9.054083824157715,9.13766012423133,8.914790581104917,9.119087219501708,8103100
2023-06-14,8.877644538879395,9.109800505124513,8.626915670244397,9.091227602734632,9528600
2023-06-15,9.016938209533691,9.044796678889101,8.784782231827473,8.821927152836277,6829700
2023-06-16,8.89621639251709,9.04479606649241,8.775495186010964,9.00765114799858,8725000
2023-06-20,8.311182022094727,8.821925239390906,8.255465095468718,8.812638789751711,12655400
2023-06-21,8.506195068359375,8.654774755659222,8.17189077193472,8.283325537409604,9254300
2023-06-22,8.134744644165039,8.47833534151113,8.134744644165039,8.47833534151113,6169800
2023-06-23,8.069740295410156,8.24617931035503,7.995450463519046,8.051168280239706,7490300
2023-06-26,8.190462112426758,8.320469770860651,8.106885823833878,8.106885823833878,8348800
2023-06-27,8.283324241638184,8.40404544008593,8.097599661566518,8.153316592785691,6115100
2023-06-28,7.930447578430176,8.274038293835142,7.902589111128343,8.264751842866294,7907500
2023-06-29,8.190462112426758,8.413332510542679,7.976879051004703,8.004737518667424,8931100
2023-06-30,8.292612075805664,8.311184094109558,8.041883186667064,8.264752719942617,7460400
2023-07-03,8.396505355834961,8.632627544574289,8.302056120045362,8.368170044657282,5545100
2023-07-05,8.302056312561035,8.41539485769595,8.150938252381149,8.358726035495836,8057200
2023-07-06,8.472063064575195,8.52873187663456,8.10371218325122,8.160381896045111,10431400
2023-07-07,8.41539478302002,8.613737460429753,8.368170164449191,8.5287333271492,8972600
2023-07-10,8.566512107849121,8.623181825425384,8.405948958906746,8.424839165010368,9635900
2023-07-11,9.048201560974121,9.114315480913609,8.642071136809596,8.660961342926367,8680900
2023-07-12,8.97264289855957,9.293769209572929,8.91597317866648,9.237099489679839,6213900
2023-07-13,8.953753471374512,9.085982228816416,8.86875023523477,9.000978091941956,4861900
2023-07-14,8.727075576782227,8.94430845126602,8.566512421952574,8.92541824446976,5509800
2023-07-17,8.73652172088623,8.7837463427677,8.519289721260115,8.689297099004762,5659700
2023-07-18,8.73652172088623,9.010423446917057,8.642072477123293,8.755411929932716,5729700
2023-07-19,8.849859237670898,8.868749444507536,8.698741185916354,8.73652069885499,6105000
2023-07-20,8.651516914367676,8.91597351547811,8.64207181057292,8.859304694178926,5372300
2023-07-21,8.62318229675293,8.755411044501859,8.51928885970819,8.727075733797669,6814300
2023-07-24,8.897083282470703,9.170984958863768,8.698740627100927,8.717629931989459,7619900
2023-07-25,8.698741912841797,8.897084597528146,8.679851704426566,8.878194389112917,6281700
2023-07-26,9.369328498840332,9.482667041076143,9.16154072104068,9.237099749197887,10164800
2023-07-27,9.55822467803955,9.992689477074736,9.444886152300093,9.444886152300093,12937400
2023-07-28,9.775457382202148,9.851016398235432,9.567669637743357,9.61489424794779,6431600
2023-07-31,9.728233337402344,9.954910398676658,9.662118518979739,9.813237460563855,6047700
2023-08-01,10.03046989440918,10.294926478427522,9.718788695203907,10.294926478427522,8343300
2023-08-02,9.775457382202148,9.964354922285356,9.510999925351134,9.794346685843209,7023500
2023-08-03,9.973800659179688,10.247702334914354,9.869906329971469,9.9076858403923,7552600
2023-08-04,10.049360275268555,10.181588119206339,9.737679070651446,9.983245452565031,5979200
2023-08-07,9.945466041564941,10.257147249367927,9.898241425075323,10.153253813678479,4570800
2023-08-08,9.907686233520508,9.936021543011385,9.652674753244916,9.766013289004581,4323500
2023-08-09,9.822681427001953,10.172143014004073,9.794347020205812,9.869906038818554,6602300
2023-08-10,9.964356422424316,10.115474477241783,9.813238367606848,9.907686701500438,5703600
2023-08-11,10.068249702453613,10.143808728680554,9.775458701007878,9.898241443075674,6036100
2023-08-14,9.936020851135254,9.992689664701754,9.67156338537642,9.832126525039087,7714100
2023-08-15,9.936020851135254,10.011579869713621,9.577115062520738,9.756567506460721,5729100
2023-08-16,9.643229484558105,10.021024597272246,9.643229484558105,9.917131166459507,4908300
2023-08-17,9.577116966247559,9.822683375073344,9.577116966247559,9.709344824676505,5199200
2023-08-18,9.784903526306152,9.888797869529524,9.520446917685634,9.577116641328809,7625100
2023-08-21,9.690455436706543,9.97380226072864,9.652675920219245,9.85101860696124,6121200
2023-08-22,9.03875732421875,9.539337025475056,8.991533605869963,9.47322219846431,10433000
2023-08-23,9.114315032958984,9.123760135553157,8.859303568058234,8.972642096984629,11439500
2023-08-24,9.0009765625,9.388216764030878,8.94430774803598,9.095425787586121,13590700
2023-08-25,9.652674674987793,9.737678801302042,9.038756485348559,9.09542620313626,18328400
2023-08-28,9.832127571105957,9.879352187925429,9.529891464636767,9.728234134690835,8366800
2023-08-29,10.483823776245117,10.540492587595686,9.888795852657037,10.011579478229292,10343400
2023-08-30,10.701055526733398,10.74828013582466,10.370484163829072,10.49326778717255,7950800
2023-08-31,10.937178611755371,11.041072040100556,10.663276936359356,10.767170364704542,8703000
2023-09-01,11.012738227844238,11.097742355964915,10.89939969059488,10.974958715427785,5491300
2023-09-05,10.79550552368164,10.927733357794416,10.701056298685744,10.861619440738028,6667700
2023-09-06,10.682168006896973,10.814395853546188,10.512159746079808,10.672722903354986,7080400
2023-09-07,10.880510330200195,10.965513557160047,10.597163538130157,10.672722562584218,9134500
2023-09-08,10.644388198852539,10.889954579004959,10.616052889010833,10.871065273178445,3938100
2023-09-11,10.370484352111816,10.8049491423173,10.332704844299798,10.663276213205856,6397000
2023-09-12,10.57827377319336,10.663277904435962,10.313817176565557,10.342151586734872,4677500
2023-09-13,10.285481452941895,10.606606828900667,10.153252721146252,10.58771752477817,6701100
2023-09-14,10.37993049621582,10.474379725594213,10.304371473006949,10.38937559930058,5312800
2023-09-15,10.57827377319336,10.823841063286507,10.323262280200215,10.379931100538842,24386200
2023-09-18,9.567669868469238,10.464933881053035,9.548779663638117,10.389374863197633,10164700
2023-09-19,9.40710735321045,9.718788547684788,9.274878612841038,9.614895116438209,8090300
2023-09-20,9.27487850189209,9.511000670683513,9.265434299698722,9.454331854584943,6817800
2023-09-21,9.662118911743164,9.82268206185631,9.27487869114132,9.322103306010119,9680200
2023-09-22,9.388216972351074,9.794347388204848,9.322103053764492,9.747122774613896,7483800
2023-09-25,9.681008338928223,9.78490176269131,9.28432304712801,9.340992760557128,8664100
2023-09-26,9.633784294128418,9.926576179375692,9.520445761342742,9.548780169355513,5643800
2023-09-27,9.718788146972656,9.907685696330157,9.614894720009673,9.69989884240419,4950500
2023-09-28,9.992691040039062,10.07769517282285,9.681009820321629,9.775459056911318,5002300
2023-09-29,10.039915084838867,10.294926567888913,10.021024878306095,10.134363415298852,5183300
2023-10-02,10.172143936157227,10.200478345522015,9.936021756403173,10.068249600595278,6280400
2023-10-03,9.808168411254883,10.172143528641596,9.712386062546939,10.047625653210073,6162500
2023-10-04,9.961420059204102,10.114673448424542,9.836903107738758,9.856059210480808,5355600
2023-10-05,9.578289031982422,9.961420227878989,9.530397404131145,9.85605937737164,7559900
2023-10-06,9.81774616241455,9.951842536404179,9.300518596250008,9.587867447109602,6866900
2023-10-09,9.970999717712402,10.057204473639562,9.626181607460678,9.626181607460678,5685500
2023-10-10,10.47864818572998,10.670214704203895,10.018890733689046,10.028469242304114,8248400
2023-10-11,11.043768882751465,11.05334739264768,10.545698243089069,10.603167475552393,9133300
2023-10-12,10.813889503479004,11.101238389625232,10.727684746289443,10.995876613746022,7096500
2023-10-13,10.909671783447266,10.995875619384451,10.75641838815963,10.861780154510932,7657100
2023-10-16,11.541837692260742,11.580150809281209,10.93840541409583,11.015031648136762,7156000
2023-10-17,11.934549331665039,12.164428071571049,11.398164691760773,11.4939479567834,9775900
