Price,Close,High,Low,Open,Volume
Ticker,GD,GD,GD,GD,GD
Date,,,,,
2023-04-19,219.1642303466797,220.91716276576443,218.92475894433764,220.40948456209324,557000
2023-04-20,217.93812561035156,219.09715894707952,216.9610782515247,219.09715894707952,651700
2023-04-21,215.54344177246094,218.72361465866132,215.18901412862823,218.72361465866132,913300
2023-04-24,215.0453338623047,216.21395555414665,214.2790223996939,215.57217390636058,791500
2023-04-25,213.35943603515625,214.6525727783549,212.554801052169,214.45142499473843,994000
2023-04-26,205.78257751464844,207.59298082232436,201.26135604283365,207.3918184031714,2765700
2023-04-27,206.60633850097656,207.83243084685657,205.01624496560373,206.10823391790854,1643800
2023-04-28,209.14474487304688,209.39380449111147,205.86877777353553,206.1465727911961,2210500
2023-05-01,208.94361877441406,211.13717066302635,208.8190889524495,208.86698616214176,1845200
2023-05-02,204.03921508789062,208.3880240822425,202.96638784735532,208.3880240822425,2609200
2023-05-03,201.16554260253906,204.76720168771266,200.8781886254657,204.2690971004958,1230200
2023-05-04,200.05442810058594,201.00272555988738,196.74971084491304,200.69620974578424,1402000
2023-05-05,202.99513244628906,203.56028149209763,200.20768159732222,200.418417617145,1050400
2023-05-08,201.83607482910156,204.06793534434144,201.15596964347617,203.94342015927464,719300
2023-05-09,202.30543518066406,202.8705841750611,200.62913538576908,202.23839078927887,1047100
2023-05-10,202.62155151367188,203.59859897469062,200.1406311741144,203.07175894099547,1263100
2023-05-11,199.28810119628906,201.73071238963345,197.86084639624548,201.25176959157275,1491100
2023-05-12,201.11766052246094,201.4720735058578,199.345566373129,200.05440695609656,1137500
2023-05-15,201.35714721679688,202.60238685833852,200.55251216930037,201.35714721679688,787200
2023-05-16,198.84747314453125,201.50082041508986,198.8187377451101,201.2613490091305,942500
2023-05-17,202.42041015625,202.58324896890878,199.82453351639376,200.05443134282856,1068500
2023-05-18,202.04681396484375,202.7843900108885,200.07357185636377,202.03724037012765,774200
2023-05-19,201.77859497070312,203.03343737917248,200.29388398969704,202.8227013787379,1035200
2023-05-22,203.5698699951172,204.92047770351223,199.977798674137,201.62536322265396,1239300
2023-05-23,198.23440551757812,203.1100393083858,197.77462456032842,203.1100393083858,1798200
2023-05-24,197.8321075439453,199.68083431259552,197.17116415557228,198.09074074291172,1598500
2023-05-25,195.7439422607422,197.63097819752394,194.33584915834817,196.8934021400377,1502300
2023-05-26,196.6060333251953,198.5026428549994,195.90678088019752,196.08878149567613,1146500
2023-05-30,196.59645080566406,197.18076162117123,193.8281619359079,195.48529997352344,1379300
2023-05-31,195.5811004638672,197.18078248807203,194.36459611583646,196.35700017929685,1624500
2023-06-01,196.68264770507812,197.89916648303006,195.37992273289137,196.7209566971245,1137100
2023-06-02,200.2843017578125,200.82071536904897,197.64054269550073,198.3493833195916,1641700
2023-06-05,200.4375457763672,202.20963984116992,200.11186820628475,201.1463863255229,1337000
2023-06-06,201.93186950683594,202.4395477269356,199.93946562093495,200.53336465696046,901000
2023-06-07,205.15992736816406,205.45688417679435,201.85522502655365,202.5928010187725,994000
2023-06-08,204.54689025878906,205.80173270713436,203.8380642495063,205.41856968681626,921300
2023-06-09,203.33038330078125,205.13119831543364,202.87058768258638,205.13119831543364,717200
2023-06-12,204.09666442871094,204.39360658628902,202.61193902464825,203.3782503250844,720800
2023-06-13,204.80548095703125,205.62926300949644,202.74603313395417,204.0295960991852,995500
2023-06-14,203.2058563232422,204.93962696949103,202.56407470710545,204.23080095987643,1037800
2023-06-15,205.9071044921875,206.37645910345665,203.225021765403,203.225021765403,879900
2023-06-16,208.18685913085938,208.62749295138377,206.33814688237015,206.55845648454496,1561500
