Price,Close,High,Low,Open,Volume
Ticker,GLPI,GLPI,GLPI,GLPI,GLPI
Date,,,,,
2023-04-19,45.582454681396484,45.69731740243485,45.25995666980243,45.39690954236183,484900
2023-04-20,46.112586975097656,46.13025842312289,45.36156897168751,45.49410314663475,1202600
2023-04-21,45.81217575073242,46.34230904128416,45.617796577632234,46.192103429291826,738600
2023-04-24,45.56478500366211,45.87402691406177,45.23787164545618,45.81217853198184,598200
2023-04-25,45.220191955566406,45.43224254962407,45.07882376936682,45.28204032637351,511600
2023-04-26,44.902122497558594,45.53828115959212,44.84027411324802,45.29972166132955,733700
2023-04-27,45.46759033203125,45.63104868417485,44.7254064319885,44.7254064319885,618100
2023-04-28,45.94470977783203,46.20977473706891,45.149511529637564,45.36156551931737,1140000
2023-05-01,45.971214294433594,46.214192468065725,45.732654824999436,45.874023024980744,856800
2023-05-02,44.86677551269531,45.865190350643324,44.72540730851112,45.812176010142814,1000300
2023-05-03,44.522193908691406,45.08766676585571,44.18644313581857,44.98164144775842,2307900
2023-05-04,44.66355895996094,44.743078785523416,43.84185521930989,44.50451930883597,791500
2023-05-05,45.10533142089844,45.34654344913362,44.813760997421625,44.813760997421625,529100
2023-05-08,45.379234313964844,45.44108268848947,44.97280117552195,45.03464955004658,1216200
2023-05-09,45.00814437866211,45.24670385869634,44.91979051367932,45.14951258492493,691400
2023-05-10,44.87561798095703,45.33506553897807,44.575210091884976,45.140682972377256,714500
2023-05-11,43.74466323852539,44.63705275210728,43.65719244296827,44.63705275210728,942700
2023-05-12,43.382408142089844,43.77117323556867,43.16152011006192,43.73583034152807,2518800
2023-05-15,43.028987884521484,43.753500335879664,42.63138876597522,43.46192652545115,5584400
2023-05-16,42.622554779052734,43.22336710609545,42.357486452715214,43.02898793606072,2063400
2023-05-17,43.36473846435547,43.51052199854324,42.755085361359534,42.821352442617844,1375000
2023-05-18,43.11734390258789,43.47960014638412,42.93621746593175,43.17035824454,1167500
2023-05-19,42.95830535888672,43.47960127154539,42.7109118310094,43.2940561256374,1035500
2023-05-22,42.80809783935547,43.294050796649714,42.777173652177204,43.055491336781564,1417700
2023-05-23,42.286808013916016,42.84344683289231,42.242631078866744,42.67556976102735,764400
2023-05-24,41.677154541015625,42.207287869121394,41.51811825011637,42.207287869121394,733800
2023-05-25,41.376739501953125,41.7301582602237,41.147014107118196,41.61529556280624,713900
2023-05-26,41.59763717651367,41.739005386838514,41.332568832981096,41.403254623385514,606200
2023-05-30,41.9952278137207,42.118924561313065,41.62502063764305,41.8361881752495,1299600
2023-05-31,42.53419494628906,42.65789169342589,41.76550561016483,42.00406506699309,1985900
2023-06-01,42.967140197753906,43.13501388584515,42.28680466630439,42.587212519535555,1616300
2023-06-02,44.398494720458984,44.455924395777906,43.24987762069314,43.24987762069314,1573700
2023-06-05,43.8330192565918,44.60170862295641,43.778238784921335,44.469177833160416,1249400
2023-06-06,43.82418441772461,44.133429686347036,43.7004876584692,43.85952731193584,633800
2023-06-07,44.42500305175781,44.54428448492487,43.819771958484516,43.89487308574726,694200
2023-06-08,44.29246520996094,44.36314762130903,43.93904304176969,44.257122319045095,604000
2023-06-09,43.99205780029297,44.3896569007026,43.93904346341048,44.301299672565115,564000
2023-06-12,43.70048522949219,44.05390741099265,43.42658624078885,43.96555018037568,1097800
2023-06-13,43.78884506225586,44.02740454337249,43.585628475486274,43.73583072073531,902300
2023-06-14,44.29246520996094,44.698898344042355,43.9832199701727,44.089248642920225,1052900
2023-06-15,44.77654266357422,44.83032611104269,44.079122359384336,44.23868425169906,1174800
2023-06-16,44.66896438598633,45.17544447041743,44.453820375669856,44.848247071719015,1687100
2023-06-20,43.969749450683594,44.50760777320211,43.62910618838168,44.50760777320211,962800
2023-06-21,43.66496658325195,43.85321546804684,43.4498259776573,43.78150307271471,714600
2023-06-22,43.18089294433594,43.933891865675065,42.898519631183056,43.754609176459454,696700
2023-06-23,42.32929611206055,43.22572336783753,42.230688566789304,43.22572336783753,1737600
2023-06-26,42.93885803222656,43.09124899275999,42.248608777791766,42.34721630265358,1279000
2023-06-27,42.76854705810547,43.046440761230464,42.73268914423149,42.93887043920741,1264400
2023-06-28,42.6699333190918,42.96575593626976,42.53547129095504,42.96575593626976,1351000
2023-06-29,43.5305061340332,43.552914762310714,42.526505206285314,42.61614997819051,1058600
2023-06-30,43.440860748291016,43.91596948367912,42.78646931082263,43.91596948367912,1851900
2023-07-03,43.90700149536133,44.32832335107998,43.51257477952991,43.53946649981895,441900
2023-07-05,43.16297149658203,43.718755408872674,42.84921992156109,43.18089703152181,1376800
2023-07-06,42.445831298828125,42.83577840549087,41.94383419923334,42.786474630409415,1092900
2023-07-07,42.98368453979492,43.25261201347197,42.22171937484521,42.24861451593176,934900
2023-07-10,43.34225082397461,43.44085835644846,42.741646281958445,42.804395908151236,713000
2023-07-11,43.59325408935547,43.70082439190958,43.24364804135592,43.39603901834105,653200
2023-07-12,43.48568344116211,44.17145314486637,43.46775790580117,44.03250459883032,1208400
2023-07-13,43.37810516357422,43.65599878500598,43.3422472602415,43.566354026674176,821100
2023-07-14,43.539466857910156,43.539466857910156,43.01954088365616,43.324326254632034,1744300
2023-07-17,43.306400299072266,43.62911122632981,43.22572171235826,43.378112698596674,638400
2023-07-18,43.234676361083984,43.55739064733879,43.055390266542666,43.43189140703922,712400
2023-07-19,43.835289001464844,43.920447255385405,43.405000960231924,43.49464572698803,1366100
2023-07-20,44.2745361328125,44.31935680613112,43.44982480103573,43.790464653935786,872800
2023-07-21,44.57932662963867,44.72275485252492,44.18489987160114,44.489685272684234,850600
2023-07-24,44.33728790283203,44.87514626745237,44.220754830489554,44.758609775511545,770800
2023-07-25,44.00560760498047,44.42692944706307,43.79046359083669,44.229714385731114,1108600
2023-07-26,44.11317825317383,44.22971473757868,43.85321356473152,44.02353690799971,921800
2023-07-27,42.98368453979492,44.229717789523974,42.84921909315722,44.1938598811408,1349500
2023-07-28,42.54443359375,43.5036104129648,41.83625529332835,43.073325772348674,1769500
2023-07-31,42.54443359375,43.27950361558567,42.43686328849555,42.78646934527126,1653400
2023-08-01,43.08229064941406,43.16744890450224,42.46644494272832,42.472719905507375,1388800
2023-08-02,42.795433044433594,42.992644689336394,42.57132626008184,42.7326799987848,1207300
2023-08-03,42.73268127441406,42.77302227499265,42.23068425102365,42.69682678674207,1080100
2023-08-04,42.68785858154297,43.33328720349394,42.51305556636426,42.62510895658641,785800
2023-08-07,43.512577056884766,43.55739773291171,42.82232770335497,42.867148379381916,847600
2023-08-08,43.11814498901367,43.46775445355878,42.974716780327824,43.08229050154088,668800
2023-08-09,43.306400299072266,43.43189956293883,42.920936320282955,43.00161490699696,567300
2023-08-10,42.97471618652344,43.54843243293774,42.82680830619611,43.40500080663552,653000
2023-08-11,42.84025192260742,43.02760485819498,42.634074099993335,42.956784983477554,561200
2023-08-14,42.46375274658203,42.9074866438524,42.39204035343414,42.84025392430251,749100
2023-08-15,41.845218658447266,42.4996100523149,41.773502846714756,42.24861155044734,757400
2023-08-16,41.405967712402344,41.975200852298165,41.405967712402344,41.77350269722088,712800
2023-08-17,40.859153747558594,41.58974069040648,40.81432965151769,41.405971471514356,817400
2023-08-18,41.18186569213867,41.48665108695235,40.59919004472328,40.65297348995019,1102500
2023-08-21,40.993614196777344,41.27150785136673,40.67986605417504,41.110150686714604,709100
2023-08-22,41.28943634033203,41.52250589798435,41.10118403729172,41.163933665105745,914200
2023-08-23,41.50457763671875,41.701792710051556,41.3432204711916,41.46871972891309,1164400
