Price,Close,High,Low,Open,Volume
Ticker,LOPE,LOPE,LOPE,LOPE,LOPE
Date,,,,,
2023-04-19,116.98999786376953,117.80000305175781,116.19999694824219,117.44000244140625,114200
2023-04-20,116.5999984741211,117.80000305175781,116.30000305175781,116.66000366210938,136900
2023-04-21,117.0199966430664,117.37000274658203,116.37999725341797,117.23999786376953,105000
2023-04-24,116.29000091552734,117.16000366210938,115.91999816894531,117.01000213623047,91900
2023-04-25,115.73999786376953,116.62000274658203,115.55999755859375,115.91999816894531,117700
2023-04-26,115.69000244140625,116.30000305175781,115.0999984741211,115.0999984741211,130600
2023-04-27,115.5,116.58000183105469,113.76000213623047,115.70999908447266,157000
2023-04-28,118.69999694824219,119.1500015258789,115.20999908447266,115.47000122070312,232200
2023-05-01,120.01000213623047,120.93000030517578,117.20999908447266,118.0199966430664,148200
2023-05-02,117.97000122070312,118.12999725341797,114.8499984741211,117.20999908447266,312300
2023-05-03,115.58000183105469,124.52999877929688,115.19000244140625,119.69999694824219,514100
2023-05-04,113.95999908447266,115.88999938964844,112.83000183105469,115.58000183105469,269400
2023-05-05,112.08999633789062,114.56999969482422,111.61000061035156,114.51000213623047,259400
2023-05-08,111.80999755859375,113.22000122070312,111.30000305175781,112.7699966430664,207400
2023-05-09,110.80999755859375,111.80000305175781,109.8499984741211,111.33999633789062,232000
2023-05-10,109.48999786376953,113.05999755859375,109.08000183105469,111.52999877929688,192900
2023-05-11,107.83000183105469,109.44999694824219,107.19000244140625,108.95999908447266,235600
2023-05-12,108.01000213623047,109.2300033569336,107.68000030517578,107.94999694824219,174700
2023-05-15,107.93000030517578,108.02999877929688,106.87000274658203,108.01000213623047,155700
2023-05-16,109.13999938964844,109.45999908447266,107.45999908447266,107.80999755859375,264000
2023-05-17,110.16000366210938,110.5199966430664,108.7300033569336,109.27999877929688,174600
2023-05-18,112.1500015258789,112.31999969482422,109.95999908447266,109.95999908447266,195100
2023-05-19,110.98999786376953,112.98999786376953,110.94999694824219,112.81999969482422,268300
2023-05-22,110.08000183105469,111.26000213623047,109.66999816894531,111.02999877929688,101700
2023-05-23,108.08000183105469,109.7300033569336,107.48999786376953,109.52999877929688,201000
2023-05-24,107.91000366210938,108.66999816894531,107.02999877929688,108.25,129200
2023-05-25,106.54000091552734,107.8499984741211,106.5199966430664,107.66999816894531,92300
2023-05-26,106.11000061035156,107.44000244140625,106.0199966430664,106.33000183105469,123800
2023-05-30,104.97000122070312,105.93000030517578,104.58000183105469,105.80999755859375,120400
2023-05-31,104.76000213623047,105.11000061035156,103.87000274658203,104.94999694824219,218400
