Price,Close,High,Low,Open,Volume
Ticker,PSA,PSA,PSA,PSA,PSA
Date,,,,,
2023-04-19,266.5467529296875,269.1464962382836,265.080947396268,267.05378249386644,1152900
2023-04-20,265.1731872558594,266.860238247691,263.0989290131218,265.96600134657587,1116300
2023-04-21,265.9567565917969,267.6530354046895,264.7398798814981,267.0169554670402,663200
2023-04-24,265.59722900390625,267.7728817515136,263.6704770975817,267.7728817515136,767800
2023-04-25,267.34881591796875,268.17851351299805,264.69376110673466,265.90143798999486,1055300
2023-04-26,266.0858154296875,269.38617793598826,264.7582880854743,267.34880355193604,1122600
2023-04-27,269.5890197753906,269.67198672516656,266.39005164237176,266.4085074982731,842200
2023-04-28,271.80157470703125,272.61284467206815,269.7918556515989,270.20671856269735,948800
2023-05-01,269.7365417480469,272.6312979013968,268.8330769077043,270.7782848461132,596200
2023-05-02,264.407958984375,270.3265206158702,263.5966891648381,269.0911881666385,991400
2023-05-03,260.2594299316406,266.64813723505426,258.72908523778915,265.74470072785766,1206800
2023-05-04,267.6253967285156,269.1465419472338,260.3609070475503,261.3473106969081,1162900
2023-05-05,272.79718017578125,273.811267430357,269.2294611321619,269.72726276574383,643400
2023-05-08,274.11553955078125,274.6594528032388,271.2392391691408,272.1242481787388,922300
2023-05-09,275.9132385253906,276.2266786269505,270.7598623721704,273.8020966367854,976700
2023-05-10,276.57696533203125,277.99665946094876,273.8204877514964,277.5357132319411,600200
2023-05-11,271.9582824707031,276.0146037689047,270.73217784730497,276.0146037689047,716900
2023-05-12,272.8709716796875,273.1014448212485,269.3124798782715,272.3178586470839,470600
2023-05-15,271.02716064453125,274.43817406720706,269.4876159610415,273.1014187203387,439300
2023-05-16,266.2886657714844,270.89812847089064,266.0673924308421,270.89812847089064,484700
2023-05-17,264.6015625,267.04460001468226,263.59670309938383,266.9062936391908,495600
2023-05-18,262.55499267578125,264.49097269951795,261.31966000808393,264.39877781573455,485500
2023-05-19,262.64715576171875,265.5879949546206,261.1260388321997,264.6661024962545,463300
2023-05-22,262.2876892089844,263.74426723013084,260.4254480335507,263.1173869746466,496500
2023-05-23,265.0440673828125,267.57927150560465,260.93243511934645,262.1677675703816,1151000
2023-05-24,261.255126953125,266.1042623325916,259.99211060590557,264.85050204707966,918500
2023-05-25,260.9969787597656,262.84076380631325,258.01005598721514,262.84076380631325,745500
2023-05-26,264.2973937988281,264.4725556449038,259.8262090272923,261.82672836376923,832800
2023-05-30,266.334716796875,269.0358548585142,265.54190281315465,265.6156418284609,932500
2023-05-31,261.1720886230469,267.8189526497153,260.397702433652,267.1183054685822,3587900
2023-06-01,261.2919921875,262.8131092303346,259.58648538568605,261.3473034884084,864100
2023-06-02,265.86456298828125,266.46378742205553,260.7849268566875,262.2323046781792,766800
2023-06-05,261.0338439941406,265.90143504960116,260.31476900187687,265.90143504960116,779400
2023-06-06,258.1390686035156,262.7300741927188,257.34622660608125,262.7300741927188,909000
