Price,Close,High,Low,Open,Volume
Ticker,WMT,WMT,WMT,WMT,WMT
Date,,,,,
2023-04-19,48.73439407348633,49.18921858581254,48.656422457480105,49.0040378567434,12433500
2023-04-20,49.04627227783203,49.18271888565956,48.60119608392879,48.799367121814974,13641600
2023-04-21,49.293182373046875,49.478359399668875,49.11450050303958,49.36790084041135,25335000
2023-04-24,49.6277961730957,49.68952432240574,49.286679646010484,49.286679646010484,13579500
2023-04-25,49.24120330810547,49.94942820691842,49.163231684365215,49.799987551938464,17246700
2023-04-26,49.02678680419922,49.18922521417361,48.80262395481179,49.049529148247494,12910200
2023-04-27,49.17947769165039,49.36140901117455,48.98455234012932,48.98455234012932,12861000
2023-04-28,49.04627227783203,49.43611919764051,48.78962252892353,49.15023195216646,14088600
2023-05-01,49.24769592285156,49.556329246686055,49.03328140441639,49.069017777137496,11409600
2023-05-02,49.114498138427734,49.215208381077126,48.555713930319584,49.20871322477513,11329500
2023-05-03,48.93257141113281,49.413384008870366,48.818863418113686,49.237951581503104,12334500
2023-05-04,49.06953430175781,49.239113321561675,48.74995067969604,49.09562481711794,14011200
2023-05-05,49.49347686767578,49.57174095069819,48.86082571351244,49.01409583060974,14556000
2023-05-08,49.803279876708984,49.878285912280695,49.26193991861448,49.3304223921313,14926200
2023-05-09,49.88806915283203,49.95329357946671,49.67935994443712,49.80328150342348,15209700
2023-05-10,49.747840881347656,50.3348383108121,49.31737908535232,50.11960554680698,15827700
2023-05-11,49.933719635009766,49.98263514912737,49.56847857144472,49.74783545654258,11926800
2023-05-12,49.917415618896484,50.24352278590888,49.800013903879766,50.090252678654075,16119300
2023-05-15,49.52934646606445,50.1717791983078,49.36629101440305,50.057642994555074,16113900
2023-05-16,48.844520568847656,49.4152090810994,48.77603809665804,49.193456491724206,15512100
2023-05-17,48.76298904418945,49.2912818066092,48.495579016386785,49.28802375803801,26985900
2023-05-18,49.39564514160156,50.31526956336727,48.89995893865563,49.503257787753846,46768500
2023-05-19,48.88691711425781,49.39238494414416,48.62603061276856,49.37281799003061,27594000
2023-05-22,48.456451416015625,48.94235602208084,48.358620377809544,48.81843446781087,16117800
2023-05-23,48.36513900756836,48.54449589265541,47.964025820605,48.26730424732455,16302300
2023-05-24,48.14339065551758,48.44014930190039,47.70966705419118,48.43036769026804,20515200
2023-05-25,47.66400909423828,48.081427484552925,47.31507317533371,47.89880507278287,21299100
2023-05-26,47.74879837036133,47.879239755785854,47.43899634796317,47.513998651776305,15720900
2023-05-30,47.63139724731445,48.032510452362395,47.481385185515336,47.70966132702361,15742500
2023-05-31,47.89554977416992,48.039034555068795,47.28898537540035,47.42268854497101,30130800
2023-06-01,48.07164001464844,48.231433684872826,47.59226273598991,47.68031215705173,20239200
2023-06-02,48.531455993652344,48.593414902919086,47.97054910128064,48.009683008193726,19178100
2023-06-05,48.85103988647461,49.32389732080524,48.7108131733144,48.7108131733144,15553200
2023-06-06,48.844520568847656,48.978223732262656,48.43036395474573,48.81843378516344,15015600
2023-06-07,48.916259765625,49.033657744098456,48.60319600168615,48.67167846679687,24256500
2023-06-08,49.62391662597656,49.7087080001635,48.847780723004114,49.043446522178705,18873000
2023-06-09,49.92393493652344,50.129386069688934,49.43803410573233,49.620656505876205,15603900
2023-06-12,50.2533073425293,50.31852802850922,49.95002518149937,50.03481281967618,14713500
2023-06-13,50.64463806152344,50.713120532087615,50.24352484878408,50.39027513257288,15738900
2023-06-14,51.1566276550293,51.30663598247855,50.74572911390502,50.84356387703681,21103200
2023-06-15,51.43708038330078,51.600132099591384,51.19249907685031,51.1990189062932,18160500
2023-06-16,50.719642639160156,51.574046338278386,50.63811304738708,51.55121760474017,34675800
2023-06-20,50.27286911010742,50.693549240148826,50.18155791316518,50.448967942776584,19994400
2023-06-21,50.37070846557617,50.65768174099658,50.01198720628221,50.289178871001305,19251000
2023-06-22,50.7913932800293,50.89900966766143,50.37723290350427,50.540288375554326,13307400
2023-06-23,50.69681930541992,50.96749115987105,50.55333079135017,50.833784257208315,18975000
2023-06-26,50.5631103515625,50.80116809939373,50.32504887171666,50.75877241344398,14106300
2023-06-27,50.38048553466797,50.82399439744675,50.24025882449664,50.269607385969664,12093600
2023-06-28,50.6544189453125,50.76855514220101,50.42940086810635,50.45875316148921,18889800
2023-06-29,50.312007904052734,50.46527801938167,49.94024325094475,50.38701393726223,21530400
2023-06-30,51.257720947265625,51.37185715130525,50.47506149494996,50.537020402168544,19073100
2023-07-03,51.590354919433594,51.66861900357063,50.980532491306924,51.137064391595885,8647500
2023-07-05,51.56100845336914,51.890377440384434,51.30990355367692,51.577313627062075,17585400
2023-07-06,51.23488998413086,51.58382587468833,51.156625908312336,51.50230001820768,14427000
2023-07-07,50.054386138916016,50.96749078684235,50.04134274646378,50.810958881370546,19774800
2023-07-10,50.50767517089844,50.709860809912456,50.32505275397005,50.40332057037219,12967800
2023-07-11,50.43266296386719,50.71311638496313,50.17503827509737,50.47179686727928,11460900
2023-07-12,50.55984878540039,50.83704043959032,50.48810453626681,50.64789820642663,16509900
2023-07-13,50.26308822631836,50.74246921817866,50.1195997336243,50.687030143091,11859600
2023-07-14,50.4359245300293,50.439186310635506,50.0837268648469,50.2598256974381,10427400
2023-07-17,50.497886657714844,50.54027860912605,50.1619941669267,50.351136388026376,10135200
2023-07-18,50.406585693359375,50.76204147571033,50.17504774183609,50.43919604168404,13437300
2023-07-19,50.42288589477539,50.61202813561417,50.13917066750984,50.48158302316497,12372900
2023-07-20,51.35554504394531,51.378373774476174,50.5141848468227,50.52397018791342,14987700
2023-07-21,51.645790100097656,51.77949325524217,51.34250793343604,51.49251626037831,16960500
2023-07-24,51.949073791503906,52.007774655124564,51.381647037897466,51.671882110878265,12529800
2023-07-25,51.90667724609375,52.343662573500126,51.61643846674782,52.32735740149341,15553800
2023-07-26,52.09255599975586,52.402357989787866,51.83166952414767,51.92950428500983,15094200
2023-07-27,51.90341567993164,52.38605474454981,51.89363033747835,52.203436070916446,13400400
2023-07-28,52.14799880981445,52.48389133746729,51.94581317624535,51.94581317624535,11020200
2023-07-31,52.13169479370117,52.38605773177123,51.82189277461184,52.16430513970901,13033200
2023-08-01,51.887115478515625,52.32410084959125,51.8381999576072,52.16104538121481,11782500
2023-08-02,51.9229850769043,52.31757473809005,51.69797070607765,51.69797070607765,12660000
2023-08-03,51.9360237121582,52.01429152024176,51.69144240991885,51.85775963608915,13202700
2023-08-04,51.63600540161133,52.25887491449829,51.51208385519456,52.09908124327629,14262000
2023-08-07,52.33713912963867,52.57193883188415,51.887110410017385,52.01429373756763,14268900
2023-08-08,52.38931655883789,52.705642122098936,52.01755191768347,52.50019471462465,11017500
2023-08-09,52.47410583496094,52.8621756602906,52.40888514459068,52.47410583496094,13209600
2023-08-10,52.44792175292969,52.93555369020967,52.372652825798795,52.62137698615919,15169500
2023-08-11,52.75556182861328,52.96173961333565,52.39556904950828,52.54283729061761,14195100
2023-08-14,52.36283493041992,53.272638809530655,52.09447799173211,53.01737163108281,20813700
2023-08-15,52.094482421875,52.62138370548099,52.00938960987415,52.21229776461755,14559300
2023-08-16,52.12065887451172,52.68028640117782,51.82939203882959,52.323563272021204,26980800
2023-08-17,50.952308654785156,52.73591660853917,50.73303739971305,52.657370563354654,53614200
2023-08-18,51.68539047241211,52.25483435053655,50.82794940630626,50.82794940630626,27954900
2023-08-21,51.54793930053711,51.98320471915942,51.394124320995395,51.58720858054137,15679200
2023-08-22,51.384307861328125,51.48249043155445,51.13231404585842,51.37121810039198,16670700
2023-08-23,51.741031646728516,51.839210472899666,51.220673381231414,51.253403401903945,14210400
2023-08-24,51.34503173828125,52.11084075875709,51.32212559434425,51.75084426509711,14033100
2023-08-25,51.649391174316406,51.72139047180021,51.23048889461554,51.43994003446597,12267000
2023-08-28,51.943931579589844,51.97993122847591,51.662481141128474,51.662481141128474,11871000
2023-08-29,52.37919616699219,52.438105703857936,51.98975053332752,52.035566565146375,12702300
2023-08-30,52.75556182861328,52.78501472777871,52.336659505895234,52.493747876914505,10967700
2023-08-31,53.21700668334961,53.34136876951442,52.677011936075324,52.72937846788548,19582800
2023-09-01,52.87664794921875,53.33154990202493,52.41192586698512,53.3020970043066,12553500
2023-09-05,52.45119857788086,53.27918679301558,52.421745680340116,52.9682834447638,15209400
2023-09-06,52.84391784667969,53.073005494724136,52.33337976661724,52.49374149477653,14594700
2023-09-07,53.49846267700195,53.50173230845748,52.85047265835681,53.01737741916311,19120800
2023-09-08,53.59663391113281,53.626086807034284,53.36754626062349,53.501724725598834,12667200
2023-09-11,53.78317642211914,53.828996200464765,53.56063551893795,53.67190784316948,11912100
2023-09-12,53.84208297729492,53.97626143798282,53.68499462870361,53.83553622495633,11757300
2023-09-13,53.85518264770508,54.27735836447789,53.79300347017219,53.976271371281506,14364300
2023-09-14,54.080989837646484,54.241351570810316,53.80608614952668,53.99917415553508,14923800
2023-09-15,53.8813591003418,54.21517232846148,53.596635281740504,54.067900354624435,63925200
2023-09-18,53.48208999633789,54.064627398213865,53.42645757895405,53.8944492791155,12997800
2023-09-19,53.46900177001953,53.59991061212283,53.13191889853552,53.46900177001953,14019600
2023-09-20,53.642452239990234,53.9042661738853,53.331548895730215,53.541000042846264,10120800
2023-09-21,52.991188049316406,53.83553937691027,52.94864539246974,53.75699707065696,18782400
2023-09-22,53.13191604614258,53.419909490857655,52.991187082163535,53.09264302109177,13215000
2023-09-25,53.36754608154297,53.38063584131284,52.97482707147464,53.13845843180238,10459500
2023-09-26,53.18101501464844,53.521371305519864,53.1319255971515,53.325009890249625,14435700
2023-09-27,52.92573547363281,53.092643960410825,52.45774377688994,53.01737128527867,15711000
2023-09-28,53.19409942626953,53.2890086201096,52.883196068112724,53.01737454483086,11617200
2023-09-29,52.33993148803711,53.38718726693015,52.097750312046266,53.354460992,18842400
2023-10-02,52.39556121826172,52.45119363164089,51.80975048217204,52.19592647136864,12992700
2023-10-03,52.06501770019531,52.60828203753472,51.93083924025638,52.26137907115881,11253300
2023-10-04,52.690101623535156,52.70646475905937,52.03883834288268,52.248289473817984,15755700
2023-10-05,52.06175231933594,52.677012255815846,52.03556905327193,52.51010751130484,14269500
2023-10-06,51.18794250488281,52.03229381707706,49.63014871557144,51.921021494525604,42616200
2023-10-09,51.001399993896484,51.00467337011686,50.15704870256071,50.752675835091594,21022500
2023-10-10,51.577396392822266,51.73448476146436,50.94249616507966,51.12904117772362,16014300
2023-10-11,51.783573150634766,52.195932450969025,51.39412748595726,51.79339328020195,12026100
2023-10-12,52.019203186035156,52.13701851393435,51.63302718515504,51.88175134593914,13514100
2023-10-13,52.30720138549805,52.513379149640045,52.00284105846808,52.12065638865182,13809000
2023-10-16,52.75883102416992,53.043554844478976,52.4675604511064,52.539559750277974,14348100
2023-10-17,52.82755661010742,52.922462052750674,52.49047000575776,52.60501570653918,10893000
2023-10-18,52.86682891845703,53.13518585152732,52.598468240104914,52.978097496090385,10559100
2023-10-19,52.61483383178711,52.95846345494118,52.43483557904831,52.830831735073666,11745900
2023-10-20,51.9570198059082,52.722828793569796,51.94065667010497,52.634466362119674,15056700
2023-10-23,52.69337463378906,52.80464695871527,51.714844834614716,51.94720586829855,17097000
2023-10-24,53.426456451416016,53.501725380227604,52.81773579660447,52.821009172918416,17535000
2023-10-25,53.266090393066406,53.7799018194487,53.171181214080086,53.39699547273689,16621800
2023-10-26,52.94209671020508,53.622816647760715,52.88973392618401,53.249730407129945,16220100
2023-10-27,52.7457389831543,53.00755666665591,52.542834585514846,52.84719492725602,13829700
2023-10-30,53.35118103027344,53.42972333135483,52.621375451678205,52.840642964758665,12653700
2023-10-31,53.478816986083984,53.54754290465737,53.001005186964825,53.34463477983174,14168400
2023-11-01,53.956634521484375,54.123539271397654,53.33809744328384,53.740636614272304,14899500
2023-11-02,54.16935348510742,54.388624761469316,53.550816427709066,53.79626722481994,15492300
2023-11-03,53.88790512084961,54.42462651505003,53.83554233204582,54.28717091731826,17240100
2023-11-06,53.95990753173828,54.2053583524743,53.69482019590951,53.835545433005684,14529000
2023-11-07,54.21189498901367,54.52607168130214,54.10716942491751,54.25116801187013,15023400
2023-11-08,53.770084381103516,54.41807429561946,53.53445372779682,54.27407570455332,15591900
2023-11-09,53.64572525024414,53.84208663564565,53.42645772066449,53.79299722561575,15080100
2023-11-10,54.38862228393555,54.47043796415162,53.63917642108556,53.85190093492913,14319900
2023-11-13,54.87625503540039,54.9384379537525,54.3428070183717,54.45080597239214,15408900
